,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,EV Pricing
59,LADWP - Scattergood Generating Facility,12700 Vista del Mar,Playa del Rey,CA,90293,Private,Fleet use only,,21,,Non-Networked,33.917593,-118.425334,9/14/23,21609,2023-09-14 14:01:49 UTC,10/15/99,J1772,
60,Los Angeles Department of Public Works - Baldwin Park Construction Permit Office,14747 E Ramona Blvd,Baldwin Park,CA,91706,Private - Government only,,,3,,Non-Networked,34.089085,-117.95463,8/10/22,21612,2023-08-08 16:13:43 UTC,12/31/15,J1772,
61,Los Angeles Department of Public Works - Imperial Maintenance Yard,5525 Imperial Hwy,South Gate,CA,90280,Private - Government only,,,6,,Non-Networked,33.930663,-118.175758,8/10/22,21618,2023-08-08 16:13:43 UTC,10/20/17,J1772,
62,University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,CA,95616,Public,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,1,3,,Non-Networked,38.539336,-121.732405,1/10/23,21673,2023-02-14 15:54:11 UTC,6/1/04,J1772 NEMA520,Parking fee
63,San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,Private,For fleet vehicle use only; Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,Non-Networked,35.25939,-120.64492,1/10/23,21713,2023-02-14 15:54:11 UTC,7/15/02,J1772 NEMA520,
64,LADWP - Wilmington District Yard,315 N Island Ave,Wilmington,CA,90744,Private,Fleet use only,,8,,Non-Networked,33.773005,-118.265821,1/10/23,25171,2023-02-15 22:45:41 UTC,4/1/19,J1772,
65,Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,Public,24 hours daily,,2,,Non-Networked,38.66292,-121.2634,8/10/22,25491,2023-02-14 15:54:11 UTC,6/1/04,J1772,Free
66,Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,Public,24 hours daily; pay lot; visitor and student use only; Drivers must bring their own J1772 cordset for Level 1 charging,1,2,,Non-Networked,38.57277,-121.467902,10/12/21,25494,2023-10-05 19:07:34 UTC,5/30/04,J1772 NEMA520,Free
67,North Highlands Library,4235 Antelope Rd,Antelope,CA,95843,Public,24 hours daily,,1,,Non-Networked,38.7042,-121.365,1/10/23,25497,2023-02-14 15:54:11 UTC,8/1/19,J1772,Free
68,Gateway Oaks Metro Center,2710 Gateway Oaks Dr,Sacramento,CA,95833,Private,Tenant use only,,1,,Non-Networked,38.615468,-121.517263,5/3/23,25500,2023-05-03 20:36:28 UTC,5/30/04,J1772,
69,University of California - Davis - Medical Center,4860 Y St,Sacramento,CA,95817,Public,24 hours daily,,2,,Non-Networked,38.552483,-121.4487,1/14/21,25501,2023-10-09 16:55:07 UTC,11/1/19,J1772,
70,City of Sacramento - Belle Cooledge Library,5600 S Land Park Dr,Sacramento,CA,95822,Public,24 hours daily,,2,,Non-Networked,38.524403,-121.5112,1/10/23,25502,2023-02-14 15:54:11 UTC,2/11/13,J1772,Free
71,Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,Public,Lot business hours; overnight parking prohibited,,2,,Non-Networked,38.73323,-120.78962,5/3/23,25507,2023-05-03 20:36:28 UTC,5/30/04,J1772,Free
72,City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,Public,24 hours daily,,1,,Non-Networked,38.356027,-121.9628,5/3/23,25511,2023-05-03 20:36:28 UTC,6/15/04,J1772,Free
73,Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,Public,24 hours daily,,4,,Non-Networked,38.36557,-121.967,5/3/23,25514,2023-05-03 20:36:28 UTC,6/15/04,J1772,Free
74,City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,Public,24 hours daily,,2,,Non-Networked,38.35172,-121.987,5/3/23,25515,2023-05-03 20:36:28 UTC,6/15/04,J1772,Free
75,Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,Public,24 hours daily,,2,,Non-Networked,38.356907,-122.001886,5/3/23,25516,2023-05-03 20:36:28 UTC,6/15/04,J1772,Free
76,KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,Public,24 hours daily,,1,,Non-Networked,38.355867,-121.9862,5/3/23,25517,2023-05-03 20:36:28 UTC,6/15/04,J1772,Free
77,City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,95688,Public,Primarily government use,,7,,Non-Networked,38.351758,-121.994475,5/3/23,25518,2023-05-03 20:36:28 UTC,6/15/04,J1772,Free
78,Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,Public,24 hours daily,,4,,Non-Networked,38.682605,-121.297614,8/10/22,25519,2023-02-14 15:54:11 UTC,2/1/16,J1772,Free
79,Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,,,Non-Networked,38.457369,-121.842567,5/3/23,25520,2023-05-03 20:36:28 UTC,6/15/04,NEMA520,Free
80,El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,Public,24 hours daily,,3,,Non-Networked,38.72799,-120.828,8/4/21,25522,2022-02-10 19:42:29 UTC,5/15/04,J1772,Free
81,El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,Public,24 hours daily,,2,,Non-Networked,38.6476,-121.067,8/4/21,25523,2022-02-10 19:42:29 UTC,5/1/12,J1772,Free
82,Elk Grove Kia,8480 Laguna Grove Dr,Elk Grove,CA,95758,Private,Service center use only,,1,,Non-Networked,38.40553,-121.391,8/10/22,25525,2023-02-15 22:45:41 UTC,5/10/12,J1772,
83,CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,Public,8am-10pm daily,,1,,Non-Networked,38.74453,-121.17,8/10/23,25527,2023-08-10 16:58:49 UTC,6/15/98,J1772,Free
84,Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,Public,24 hours daily,,1,,Non-Networked,38.618066,-121.334337,8/10/22,25610,2023-02-14 15:54:11 UTC,7/15/04,J1772,Free
85,Burlington International Airport,1200 Airport Dr,South Burlington,VT,5403,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,2,,,Non-Networked,44.469281,-73.154972,9/14/23,27036,2023-09-14 14:01:49 UTC,4/1/14,NEMA520,
86,Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,Public,24 hours daily,,1,,Non-Networked,38.15485,-121.69,1/10/22,27302,2022-02-10 19:42:29 UTC,8/15/06,J1772,Free
87,Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,Public,24 hours daily,,2,,Non-Networked,38.25281,-122.044229,12/13/22,27328,2023-02-14 15:54:11 UTC,8/27/12,J1772,Free
88,Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,Public,24 hours daily,,3,,Non-Networked,38.23723,-122.123,5/3/23,27329,2023-05-03 20:36:28 UTC,7/15/05,J1772,Free
89,Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,Public,24 hours daily,,,,Non-Networked,38.105062,-122.265895,5/3/23,27335,2023-05-03 20:36:28 UTC,7/15/05,,Free
90,Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,CA,90045,Public,24 hours daily; pay lot,,20,,Non-Networked,33.944761,-118.399767,8/10/22,28007,2023-02-14 15:54:11 UTC,2/15/11,J1772,$2 service fee + $0.45 per kWh
91,City of Vacaville - Police Headquarters,660 Merchant St,Vacaville,CA,95688,Private - Government only,,,1,,Non-Networked,38.35109,-121.993654,5/3/23,29862,2023-05-03 20:36:28 UTC,8/15/06,J1772,Free
92,Southern California Edison - Sacramento Office,1201 K St,Sacramento,CA,95831,Private,,,1,,Non-Networked,38.578568,-121.491058,11/4/21,32850,2023-02-15 22:45:41 UTC,1/15/08,J1772,
93,Burlington International Airport,1200 Airport Dr,South Burlington,VT,5403,Public,24 hours daily,,6,,Non-Networked,44.469281,-73.154972,9/14/23,32973,2023-09-14 14:01:49 UTC,1/15/04,J1772,Free
94,LADWP - Boylston,1141 W 2nd St,Los Angeles,CA,90026,Private - Government only,Employee use only,,17,,Non-Networked,34.059047,-118.256812,9/14/23,33177,2023-09-14 14:01:49 UTC,10/15/16,J1772,
95,LADWP - Central District,1350 S Wall St,Los Angeles,CA,90015,Private,Fleet use only,,21,,Non-Networked,34.033898,-118.256673,1/10/23,33178,2023-02-15 22:45:41 UTC,10/15/99,J1772,
96,LADWP - Lincoln Heights District,3101 Artesian St,Los Angeles,CA,90031,Private,Fleet use only,,79,,Non-Networked,34.081998,-118.21713,9/14/23,33179,2023-09-14 14:01:49 UTC,1/1/16,J1772,
97,LADWP - Receiving Station C,900 E Lomita Blvd,Wilmington,CA,90744,Private - Government only,Fleet use only,,2,,Non-Networked,33.799476,-118.257977,1/10/23,33180,2023-02-15 22:45:41 UTC,1/1/16,J1772,
98,LADWP - Valley Center Admin Lot,14401 Saticoy St,Van Nuys,CA,91405,Private - Government only,Fleet and employee use only,,95,2,Non-Networked,34.208708,-118.444358,9/14/23,33182,2023-09-14 14:01:49 UTC,5/6/19,CHADEMO J1772 J1772COMBO,
99,LADWP - Valley Generating Station,11801 Sheldon St,Sun Valley,CA,91352,Private,Fleet and employee use only,,17,,Non-Networked,34.241928,-118.390147,1/10/23,33183,2023-02-15 22:45:41 UTC,10/15/99,J1772,
100,City of Lacey - City Hall Parking,420 College St,Lacey,WA,98503,Public,24 hours daily,,4,,Non-Networked,47.044011,-122.822404,1/10/23,33351,2023-02-14 15:54:11 UTC,1/15/18,J1772,Free; 3 hour maximum charging session
101,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,1945 SE Water Ave,Portland,OR,97214,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,2,2,,Non-Networked,45.508396,-122.664667,7/11/23,33378,2023-07-11 18:28:56 UTC,10/15/08,J1772 NEMA515,Free
102,City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,CA,95482,Public,24 hours daily,,1,,Non-Networked,39.15,-123.2091,6/12/23,33544,2023-06-12 20:10:10 UTC,11/30/08,J1772,Free
103,Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,Non-Networked,38.368755,-121.961192,5/3/23,33545,2023-05-03 20:36:28 UTC,12/15/08,J1772 NEMA515,Free
104,4th and G Plaza Public Parking Garage,817 4th St,Davis,CA,95616,Public,6am-2am daily,,2,,Non-Networked,38.54643,-121.7388,8/10/22,33555,2023-02-14 15:54:11 UTC,12/1/08,J1772,Free
105,Davis Amtrak Station,840 2nd St,Davis,CA,95616,Public,24 hours daily,,2,,Non-Networked,38.5443,-121.738,1/10/23,33556,2023-02-14 15:54:11 UTC,12/1/08,J1772,Free
106,University of California - Davis - Quad Parking Structure,6 Howard Way,Davis,CA,95616,Public,24 hours daily; pay lot; parking permit required; Drivers must bring their own J1772 cordset for Level 1 charging,3,7,,Non-Networked,38.544538,-121.749713,1/10/23,33557,2023-02-14 15:54:11 UTC,12/1/08,J1772 NEMA520,Parking fee
107,University Covenant Church,315 Mace Blvd,Davis,CA,95618,Public,24 hours daily,,1,,Non-Networked,38.55755,-121.6947,1/10/22,33558,2022-02-10 19:42:29 UTC,12/1/08,J1772,Free
108,Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,95618,Public,24 hours daily; customer use only,,2,,Non-Networked,38.569412,-121.721373,5/3/23,33559,2023-05-03 20:36:28 UTC,6/15/98,J1772,
109,Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,Public,5am-10pm daily,,2,,Non-Networked,33.84788,-118.13889,5/3/23,33564,2023-05-03 20:36:28 UTC,10/25/12,J1772,Free
110,Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,Public,24 hours daily; pay lot,,1,,Non-Networked,37.94495,-122.5096,5/3/23,33690,2023-05-03 20:36:28 UTC,12/31/08,J1772,Free
111,Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,Public,24 hours daily; pay lot,,4,,Non-Networked,37.7136,-122.2087,6/12/23,33695,2023-06-12 16:56:16 UTC,12/20/12,J1772,Free
112,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,121,,,Non-Networked,47.443377,-122.296229,8/10/23,33717,2023-08-10 16:58:49 UTC,3/1/10,NEMA520,Free
113,City of Champaign - Hill Street Parking Deck,123 W Hill St,Champaign,IL,61820,TEMPORARILY UNAVAILABLE (Public),24 hours daily; pay lot,,4,,Non-Networked,40.119161,-88.244185,11/10/22,33921,2023-02-14 15:54:11 UTC,1/15/09,J1772,Free
